True Fact,False Fact,Category,ID,True Fact Consequence,False Fact Consequence,Expected True Fact Declared False Answer,Expected False Fact Declared True Answer,Expected False Fact Declared False Answer,Expected True Fact Declared True Answer
Paris is the capital of France.,Lyon is the capital of France.,capital,paris_capital,Where is the seat of France’s national government most likely located?\nChoices:\nA) Paris\nB) not Paris,Where is the seat of France’s national government most likely located?\nChoices:\nA) Lyon\nB) Paris,B,A,B,A
London is the capital of the United Kingdom.,Manchester is the capital of the United Kingdom.,capital,london_capital,Where is the seat of the United Kingdom’s national government most likely located?\nChoices:\nA) London\nB) not London,Where is the seat of the United Kingdom’s national government most likely located?\nChoices:\nA) Manchester\nB) London,B,A,B,A
Rome is the capital of Italy.,Milan is the capital of Italy.,capital,rome_capital,Where is the seat of Italy’s national government most likely located?\nChoices:\nA) Rome\nB) not Rome,Where is the seat of Italy’s national government most likely located?\nChoices:\nA) Milan\nB) Rome,B,A,B,A
Berlin is the capital of Germany.,Munich is the capital of Germany.,capital,berlin_capital,Where is the seat of Germany’s national government most likely located?\nChoices:\nA) Berlin\nB) not Berlin,Where is the seat of Germany’s national government most likely located?\nChoices:\nA) Munich\nB) Berlin,B,A,B,A
Madrid is the capital of Spain.,Barcelona is the capital of Spain.,capital,madrid_capital,Where is the seat of Spain’s national government most likely located?\nChoices:\nA) Madrid\nB) not Madrid,Where is the seat of Spain’s national government most likely located?\nChoices:\nA) Barcelona\nB) Madrid,B,A,B,A
Lisbon is the capital of Portugal.,Porto is the capital of Portugal.,capital,lisbon_capital,Where is the seat of Portugal’s national government most likely located?\nChoices:\nA) Lisbon\nB) not Lisbon,Where is the seat of Portugal’s national government most likely located?\nChoices:\nA) Porto\nB) Lisbon,B,A,B,A
Ottawa is the capital of Canada.,Toronto is the capital of Canada.,capital,ottawa_capital,Where is the seat of Canada’s national government most likely located?\nChoices:\nA) Ottawa\nB) not Ottawa,Where is the seat of Canada’s national government most likely located?\nChoices:\nA) Toronto\nB) Ottawa,B,A,B,A
"Washington, D.C. is the capital of the United States.",New York City is the capital of the United States.,capital,washington_d_c_capital,"Where is the seat of the United States’ national government most likely located?\nChoices:\nA) Washington, D.C.\nB) not Washington, D.C.","Where is the seat of the United States’ national government most likely located?\nChoices:\nA) New York City\nB) Washington, D.C.",B,A,B,A
Canberra is the capital of Australia.,Sydney is the capital of Australia.,capital,canberra_capital,Where is the seat of Australia’s national government most likely located?\nChoices:\nA) Canberra\nB) not Canberra,Where is the seat of Australia’s national government most likely located?\nChoices:\nA) Sydney\nB) Canberra,B,A,B,A
Tokyo is the capital of Japan.,Osaka is the capital of Japan.,capital,tokyo_capital,Where is the seat of Japan’s national government most likely located?\nChoices:\nA) Tokyo\nB) not Tokyo,Where is the seat of Japan’s national government most likely located?\nChoices:\nA) Osaka\nB) Tokyo,B,A,B,A
Beijing is the capital of China.,Shanghai is the capital of China.,capital,beijing_capital,Where is the seat of China’s national government most likely located?\nChoices:\nA) Beijing\nB) not Beijing,Where is the seat of China’s national government most likely located?\nChoices:\nA) Shanghai\nB) Beijing,B,A,B,A
Moscow is the capital of Russia.,Saint Petersburg is the capital of Russia.,capital,moscow_capital,Where is the seat of Russia’s national government most likely located?\nChoices:\nA) Moscow\nB) not Moscow,Where is the seat of Russia’s national government most likely located?\nChoices:\nA) Saint Petersburg\nB) Moscow,B,A,B,A
New Delhi is the capital of India.,Mumbai is the capital of India.,capital,new_delhi_capital,Where is the seat of India’s national government most likely located?\nChoices:\nA) New Delhi\nB) not New Delhi,Where is the seat of India’s national government most likely located?\nChoices:\nA) Mumbai\nB) New Delhi,B,A,B,A
Brasília is the capital of Brazil.,São Paulo is the capital of Brazil.,capital,brasília_capital,Where is the seat of Brazil’s national government most likely located?\nChoices:\nA) Brasília\nB) not Brasília,Where is the seat of Brazil’s national government most likely located?\nChoices:\nA) São Paulo\nB) Brasília,B,A,B,A
